,0,1
232,[ 10.76242031 106.66042001  -4.60521051   3.71745982],[ 10.76223879 106.66066329  -4.60565833   3.71762838]
233,[ 10.76201684 106.66046124   4.47696169  -3.57753526],[ 10.76213349 106.6599806    4.47682964  -3.57716328]
234,[ 10.76159916 106.66044141   5.71891682   0.90733094],[ 10.76149816 106.66026173   5.71891258   0.90677815]
235,[ 10.76173343 106.66045982   3.12714033  -1.03363723],[ 10.7618583  106.66071404   3.12721997  -1.03333914]
236,[1.07615919e+01 1.06660471e+02 3.88294607e-03 4.48203425e-05],[1.07613563e+01 1.06660736e+02 3.85344845e-03 8.80921744e-05]
237,[ 1.07616752e+01  1.06660437e+02 -2.78878402e-06 -4.20578942e-05],[ 1.07618380e+01  1.06660889e+02 -1.92542840e-04 -1.43011104e-04]
238,[ 10.76149294 106.66051482   0.98429601  -0.93664299],[ 10.76138187 106.66047836   0.98414788  -0.93634123]
239,[ 10.76156128 106.66055432   0.71185338  -0.78568735],[ 10.76130775 106.66060926   0.7115714   -0.78552644]
240,[ 10.76132326 106.66067107   0.89889527  -0.89527396],[ 10.7612123  106.66060833   0.89876812  -0.895992  ]
241,[ 10.76143134 106.66049572   0.13007454  -0.27209035],[ 10.76078752 106.66032415   0.13037544  -0.27220684]
242,[ 1.07612705e+01  1.06660753e+02  1.61421744e-04 -4.33259634e-05],[ 1.07614638e+01  1.06660893e+02  6.55957187e-04 -6.33646649e-04]
243,[ 1.07612837e+01  1.06660646e+02 -4.41725858e-05 -3.67513540e-05],[ 1.07616185e+01  1.06660808e+02  5.83608150e-05 -7.49993754e-05]
244,[1.07612108e+01 1.06660712e+02 1.82857058e-03 6.46568193e-05],[ 1.07607056e+01  1.06660571e+02  2.05862136e-03 -5.36608102e-04]
245,[1.07611166e+01 1.06660771e+02 5.95527157e-02 2.11381032e-05],[ 1.07607716e+01  1.06661026e+02  6.00122861e-02 -1.53351755e-04]
246,[ 1.07610435e+01  1.06660563e+02  1.39556184e-04 -1.54156311e-04],[ 1.07612048e+01  1.06660675e+02  1.42127278e-04 -2.85412874e-04]
